playerName,seasonStartYear,inflationAdjSalary,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,target
Allen Iverson,2002,15767,40,9,22,1,3,6,8,0,2,3,6,2,0,3,1,26,16
Chandler Parsons,2015,15620,29,4,10,1,4,1,2,0,3,4,2,0,0,1,1,12,16
Joe Johnson,2009,15597,34,6,13,1,4,2,2,0,3,3,3,0,0,1,1,15,16
Larry Johnson,1999,15516,33,4,10,0,1,2,3,1,3,5,2,0,0,1,3,12,16
Dikembe Mutombo,2002,15473,27,2,5,0,0,2,3,2,6,9,0,0,2,1,2,8,16
Dirk Nowitzki,2008,15365,33,7,15,1,3,4,5,1,6,7,2,0,0,1,2,21,16
Anfernee Hardaway,2001,15312,32,5,11,0,1,2,3,1,3,4,4,1,0,2,2,13,16
Jayson Williams,1998,15256,34,4,10,0,0,2,4,6,7,13,1,0,1,1,3,11,16
DeMar DeRozan,2014,15070,33,7,15,0,1,5,6,0,3,4,3,0,0,2,2,20,16
Mike Conley,2013,15041,32,5,12,1,3,2,3,0,2,3,5,1,0,2,1,14,16
Andre Drummond,2015,14971,30,6,11,0,0,2,4,4,9,13,1,1,1,1,3,14,15
Dwyane Wade,2010,14928,34,8,16,0,1,5,7,1,3,4,5,1,0,3,2,22,15
Pau Gasol,2009,14927,33,6,12,0,0,3,5,2,6,9,3,0,1,2,2,16,15
Jason Kidd,2004,14912,35,4,10,1,4,2,2,1,5,6,8,1,0,2,1,12,15
Brian Grant,2001,14621,27,3,7,0,0,2,2,2,5,7,1,0,0,1,3,9,15
Harrison Barnes,2015,14596,30,4,11,1,3,2,2,1,3,4,1,0,0,1,1,13,15
Paul Millsap,2012,14555,28,5,10,0,1,3,4,2,5,7,2,1,1,1,3,13,15
Kawhi Leonard,2015,14359,31,6,13,1,3,3,4,1,5,6,2,1,0,1,1,19,15
Steve Francis,2003,14258,37,6,14,1,2,4,6,1,3,5,6,1,0,3,3,18,15
Michael Finley,2002,14179,33,5,13,1,3,2,2,0,3,4,2,0,0,1,1,15,15
Ray Allen,2004,14177,35,6,14,2,5,3,3,0,3,4,3,1,0,2,2,18,15
Rasheed Wallace,2003,14176,32,5,12,1,3,2,2,1,5,6,1,0,1,1,3,14,15
Andrew Wiggins,2016,14107,35,7,16,1,3,3,5,1,3,4,2,0,0,2,2,19,15
Carlos Boozer,2008,14105,31,6,13,0,0,2,3,2,7,9,2,0,0,2,3,16,15
Tracy McGrady,2004,14097,32,7,16,1,3,4,5,1,4,5,4,1,0,2,1,19,15
Baron Davis,2005,13984,33,5,14,1,5,2,4,0,2,3,7,1,0,2,2,16,15
Reggie Miller,2000,13792,34,5,12,2,5,4,4,0,2,2,2,0,0,1,1,16,15
Hassan Whiteside,2015,13776,26,5,9,0,0,2,3,3,8,11,0,0,2,1,2,13,15
Klay Thompson,2015,13764,33,7,16,2,7,1,2,0,3,3,2,0,0,1,2,19,15
CJ McCollum,2016,13648,30,7,15,2,5,2,2,0,2,3,3,0,0,1,2,18,15
Yao Ming,2006,13571,32,6,13,0,0,5,6,2,6,9,1,0,1,2,3,19,15
Jimmy Butler,2015,13515,33,5,12,0,2,5,6,1,3,5,3,1,0,1,1,17,15
Nicolas Batum,2013,13461,30,4,9,1,4,1,2,1,4,5,3,0,0,1,1,11,14
Zach Randolph,2009,13450,30,6,14,0,0,3,4,2,6,9,1,0,0,2,2,16,14
Jalen Rose,2001,13397,31,5,12,0,2,3,3,0,3,3,3,0,0,2,2,15,14
Juwan Howard,2004,13346,28,4,10,0,0,2,3,1,3,5,1,0,0,1,2,12,14
DeAndre Jordan,2013,13305,27,3,5,0,0,1,4,3,7,10,0,0,1,1,2,9,14
Victor Oladipo,2016,13246,32,6,14,1,4,3,3,0,4,4,3,1,0,2,2,17,14
Keith Van Horn,2001,13215,30,5,12,1,2,3,3,1,4,6,1,0,0,2,2,15,14
Joel Embiid,2016,13192,30,7,16,1,3,6,8,2,9,11,3,0,1,3,3,23,14
Jrue Holiday,2014,13126,32,6,13,1,3,2,2,0,3,3,6,1,0,2,2,15,14
Gary Payton,2001,13118,35,6,14,1,3,2,3,0,3,4,6,1,0,2,2,17,14
Antonio Davis,2000,13000,30,3,8,0,0,3,4,2,5,7,1,0,1,1,2,10,14
Paul Pierce,2007,12987,33,6,14,1,4,5,6,0,4,5,3,1,0,2,2,19,14
Danilo Gallinari,2013,12912,30,4,11,1,5,4,5,0,4,4,2,0,0,1,1,16,14
Deron Williams,2011,12907,33,5,12,1,3,3,4,0,2,3,7,1,0,2,2,16,14
Kevin Johnson,1996,12848,30,4,9,0,1,4,5,0,2,3,6,1,0,2,1,14,14
Steven Adams,2016,12777,26,4,6,0,0,1,2,3,4,7,1,0,1,1,2,9,14
Jermaine O'Neal,2004,12771,26,5,10,0,0,2,4,1,5,7,1,0,1,1,2,13,14
Brandon Roy,2010,12751,34,6,14,0,2,4,5,1,3,4,4,1,0,1,1,18,14
Kyle Lowry,2012,12743,31,4,11,1,5,3,4,0,3,4,6,1,0,2,2,14,14
Glenn Robinson,2000,12715,35,7,17,0,2,3,3,1,4,5,2,1,0,2,2,20,14
Tobias Harris,2015,12701,30,6,12,1,3,2,3,1,5,6,2,0,0,1,2,15,14
Vin Baker,2001,12695,29,5,11,0,0,2,4,2,3,6,1,0,0,2,3,13,14
Rashard Lewis,2005,12647,31,5,11,1,4,2,2,1,3,5,1,1,0,1,2,14,14
Giannis Antetokounmpo,2016,12600,32,7,14,0,2,4,6,1,7,9,4,1,1,2,3,20,14
Brook Lopez,2013,12598,30,6,13,0,2,3,4,2,4,6,1,0,1,1,2,16,14
Rudy Gay,2012,12542,32,6,14,1,2,3,3,1,4,5,2,1,0,2,2,17,14
Tom Gugliotta,2000,12527,27,4,9,0,0,2,2,1,4,6,2,1,0,1,2,11,14
Derrick Rose,2013,12426,32,7,16,0,2,3,4,0,2,3,5,0,0,2,1,19,14
Elton Brand,2007,12348,32,6,12,0,0,3,4,3,5,8,2,0,1,1,2,15,14
Andre Iguodala,2011,12343,32,4,9,0,2,2,3,0,4,4,4,1,0,1,1,11,14
Khris Middleton,2015,12313,31,5,13,1,4,2,3,0,4,4,3,1,0,1,2,16,14
Tristan Thompson,2015,12289,27,3,7,0,0,1,3,3,5,8,0,0,0,1,2,9,14
Bryant Reeves,1999,12228,29,5,10,0,0,2,3,2,4,6,1,0,0,1,3,12,14
Antoine Walker,2002,12198,35,6,16,1,4,2,3,2,5,7,3,1,0,2,2,17,14
Tyson Chandler,2010,12176,26,3,5,0,0,2,3,3,5,8,0,0,1,1,2,8,14
Serge Ibaka,2014,12127,28,5,9,0,1,1,1,2,5,7,0,0,2,1,2,12,14
Vlade Divac,2000,12041,29,4,9,0,0,2,3,2,5,7,3,1,1,2,3,11,14
Antawn Jamison,2005,12037,34,7,15,1,3,3,4,2,5,7,1,0,0,1,2,18,14
Rik Smits,1997,11977,25,6,12,0,0,2,3,1,4,5,1,0,1,1,3,14,13
Zydrunas Ilgauskas,2003,11961,26,4,10,0,0,2,3,2,4,7,1,0,1,1,3,12,13
John Stockton,1999,11920,30,4,8,0,1,2,3,0,2,2,8,1,0,2,2,12,13
Grant Hill,2004,11705,32,5,12,0,0,3,4,1,4,5,3,1,0,2,2,15,13
Rudy Gobert,2016,11704,29,4,6,0,0,3,4,3,7,10,1,0,2,1,2,11,13
Eric Gordon,2013,11701,32,5,13,2,6,2,3,0,2,2,2,0,0,1,1,16,13
Draymond Green,2015,11659,28,3,7,0,2,1,2,1,6,7,5,1,1,2,2,9,13
Luol Deng,2011,11623,34,5,12,0,2,2,3,1,4,6,2,0,0,1,1,14,13
Shareef Abdur-Rahim,2002,11564,34,6,13,0,0,4,5,2,5,7,2,0,0,2,2,18,13
Horace Grant,1999,11539,31,3,8,0,0,1,1,2,4,7,1,0,0,0,2,8,13
Karl-Anthony Towns,2017,11500,33,8,15,1,3,4,4,3,8,11,2,0,1,2,3,22,13
Damon Stoudamire,2002,11435,31,4,11,1,3,2,2,0,2,3,5,1,0,2,1,12,13
Derrick Favors,2014,11425,25,4,8,0,0,2,3,2,4,7,1,0,1,1,2,11,13
Tony Parker,2009,11316,30,6,13,0,1,2,3,0,2,2,5,0,0,2,1,15,13
Derrick Coleman,2000,11296,30,4,11,0,1,3,4,2,6,8,2,0,1,2,2,13,13
Kemba Walker,2015,11232,33,6,16,2,6,3,4,0,3,3,5,1,0,2,1,19,13
Shawn Marion,2006,11116,34,6,12,0,2,2,2,2,6,8,1,1,1,1,2,15,13
Joakim Noah,2013,11115,27,3,6,0,0,2,2,3,5,9,2,0,1,1,2,8,13
Michael Redd,2005,11114,31,6,14,1,4,4,4,1,2,3,2,0,0,1,1,19,13
Eddie Jones,2002,11083,34,5,11,1,4,3,3,0,3,4,2,1,0,1,2,14,13
Lamar Odom,2005,11081,32,4,10,0,2,2,3,1,6,8,3,0,0,2,3,13,13
Vince Carter,2008,11071,29,6,13,1,4,3,4,1,3,4,3,0,0,1,2,16,13
Evan Turner,2014,10985,26,3,8,0,1,1,1,0,4,4,3,0,0,1,1,9,13
Wesley Matthews,2014,10958,31,4,10,2,5,2,2,0,2,3,2,1,0,1,2,13,13
D'Angelo Russell,2017,10900,28,6,15,2,6,2,2,0,3,3,5,1,0,2,1,17,13
Elden Campbell,2000,10882,23,3,8,0,0,2,3,1,4,5,1,0,1,1,2,10,13
Allen Crabbe,2015,10873,23,3,7,1,4,1,1,0,2,2,1,0,0,0,2,9,13
Tim Thomas,2003,10830,25,4,9,1,3,1,2,0,3,4,1,0,0,1,2,11,13
Ricky Rubio,2015,10822,30,3,9,0,2,3,3,0,3,4,7,1,0,2,2,11,13
Al Jefferson,2011,10817,28,6,13,0,0,2,3,2,6,8,1,0,1,1,2,15,13
Terrell Brandon,1999,10808,35,6,14,0,1,2,3,0,3,3,7,1,0,2,2,16,13
Aaron Gordon,2016,10776,28,4,10,1,3,2,2,1,4,6,2,0,0,1,2,12,13
Glen Rice,1999,10754,33,5,12,1,3,3,4,0,3,3,1,0,0,1,2,16,13
Mitch Richmond,1998,10724,31,6,14,1,3,4,4,0,2,3,2,1,0,2,2,18,13
Raef LaFrentz,2003,10711,25,3,8,0,2,1,1,1,4,6,1,0,1,0,3,10,13
Nick Van Exel,2000,10642,31,5,12,1,4,2,2,0,2,2,6,0,0,2,1,13,13
Mike Bibby,2004,10569,33,5,12,1,3,2,2,0,2,3,5,1,0,2,1,14,13
Antonio McDyess,2003,10542,26,4,9,0,0,1,2,2,5,7,1,0,1,1,3,11,13
Arvydas Sabonis,1999,10460,24,4,8,0,0,2,3,1,5,7,2,0,1,1,2,11,12
Jamal Mashburn,2000,10382,36,6,15,1,3,3,4,1,4,5,4,1,0,2,2,17,12
Eric Bledsoe,2014,10365,27,4,10,1,3,2,3,0,3,3,4,1,0,2,2,13,12
Zion Williamson,2019,10349,27,8,15,0,0,4,7,2,3,6,2,0,0,2,1,22,12
Bismack Biyombo,2015,10324,19,1,3,0,0,1,2,1,4,6,0,0,1,0,2,5,12
Kent Bazemore,2015,10304,20,3,7,1,3,1,1,0,2,3,1,1,0,1,1,8,12
Wally Szczerbiak,2003,10287,30,5,10,0,2,2,2,1,2,3,2,0,0,1,2,13,12
Evan Fournier,2015,10263,27,5,11,1,4,2,2,0,2,2,2,0,0,1,2,14,12
Steve Nash,2005,10259,31,5,10,1,3,2,2,0,2,3,8,0,0,2,1,14,12
Emeka Okafor,2009,10201,30,4,9,0,0,2,3,3,6,9,0,0,1,1,2,11,12
Andrew Bogut,2011,10179,26,4,7,0,0,1,1,2,6,8,2,0,1,1,3,9,12
Ryan Anderson,2013,10165,25,4,9,1,5,1,2,1,3,5,0,0,0,0,1,11,12
Brandon Knight,2015,10098,28,5,12,1,4,2,2,0,2,3,3,0,0,2,1,14,12
Kenyon Martin,2007,10061,30,5,10,0,0,2,3,1,5,6,1,1,1,1,3,12,12
Andrew Bynum,2009,10007,24,4,8,0,0,2,3,2,5,7,1,0,1,1,2,11,12
Richard Hamilton,2006,9992,32,6,14,0,1,3,4,0,2,3,3,0,0,2,2,17,12
Theo Ratliff,2003,9894,25,2,5,0,0,1,2,1,3,5,0,0,2,1,2,7,12
Andrei Kirilenko,2006,9859,29,3,8,0,1,3,4,1,3,5,2,1,1,1,2,11,12
DeMarcus Cousins,2014,9854,31,7,16,0,1,5,7,2,8,10,3,1,1,3,3,21,12
Marcus Camby,2005,9708,28,3,8,0,0,1,2,2,7,9,1,0,2,1,2,9,12
Jason Richardson,2007,9696,33,6,14,1,5,2,3,1,3,4,2,1,0,1,2,17,12
Jeff Teague,2014,9692,27,4,10,0,2,2,3,0,2,2,5,1,0,2,1,12,12
Greg Monroe,2014,9582,26,5,10,0,0,2,3,2,5,8,2,1,0,1,2,12,12
Nenê,2010,9532,25,4,7,0,0,2,3,1,4,5,1,1,0,1,3,11,12
Ben Gordon,2009,9503,27,5,12,1,3,2,3,0,2,2,2,0,0,2,2,15,12
Mehmet Okur,2006,9493,28,4,10,0,2,2,3,1,4,6,1,0,0,1,2,12,12
Deandre Ayton,2018,9479,30,7,13,0,0,1,2,3,7,10,1,0,1,1,2,16,12
Kerry Kittles,2000,9478,32,5,12,1,3,1,2,1,2,3,2,1,0,1,1,13,12
Dale Davis,2001,9455,25,2,5,0,0,1,2,2,4,7,0,0,0,0,2,7,12
Clyde Drexler,1996,9429,35,6,14,1,5,3,4,1,3,5,5,1,0,2,2,18,12
Jordan Clarkson,2016,9364,26,5,12,1,4,1,2,0,2,3,2,0,0,1,1,14,12
David Lee,2010,9316,28,5,10,0,0,2,3,2,6,8,2,0,0,1,2,13,12
Steve Smith,2000,9315,28,4,10,1,3,3,3,0,1,2,2,0,0,1,2,13,12
Matt Geiger,1999,9313,21,3,8,0,0,1,2,2,3,5,0,0,0,1,2,9,12
Ja Morant,2019,9260,30,6,14,0,2,3,4,0,3,3,7,0,0,3,1,18,12
Josh Smith,2011,9241,31,5,12,0,1,2,4,1,5,7,3,1,1,2,2,14,12
Thaddeus Young,2013,9179,29,5,11,0,1,1,2,2,3,5,1,1,0,1,2,13,12
Roy Hibbert,2012,9123,24,4,8,0,0,2,2,2,4,6,1,0,1,1,3,10,12
Marcin Gortat,2012,9121,24,4,7,0,0,1,2,2,5,7,1,0,1,1,2,9,12
Cody Zeller,2016,9108,22,3,6,0,0,2,2,1,3,5,1,0,0,1,2,8,12
Markelle Fultz,2018,9040,24,4,9,0,1,1,2,0,2,3,4,1,0,1,2,10,12
Jabari Parker,2016,8921,28,5,12,0,2,2,2,1,4,5,2,0,0,1,2,14,11
Danny Manning,1999,8899,19,3,7,0,0,1,2,1,2,3,1,0,0,1,2,8,11
Timofey Mozgov,2014,8896,17,2,5,0,0,1,1,1,3,4,0,0,0,1,2,6,11
Sean Elliott,1998,8882,27,3,8,0,2,1,2,0,3,3,2,0,0,1,2,10,11
Larry Hughes,2004,8862,30,5,12,0,2,3,4,1,3,4,3,1,0,2,2,13,11
Andrea Bargnani,2010,8858,28,5,12,1,3,2,3,0,3,4,1,0,0,1,2,14,11
George Hill,2013,8834,27,3,8,1,3,2,2,0,2,3,3,0,0,1,2,11,11
Tyreke Evans,2013,8791,30,5,13,0,2,3,4,0,3,4,4,1,0,2,2,15,11
Zach LaVine,2016,8762,30,6,14,1,4,3,3,0,3,3,3,0,0,2,2,17,11
Richard Jefferson,2009,8672,28,4,9,0,2,2,3,0,3,4,2,0,0,1,2,12,11
Kenny Anderson,2000,8668,27,4,9,0,1,1,2,0,2,2,4,1,0,1,2,10,11
Christian Laettner,2000,8659,26,3,8,0,0,2,2,1,4,5,2,0,0,1,2,10,11
Marvin Williams,2012,8627,27,3,8,0,2,1,2,1,3,5,1,0,0,0,1,10,11
Erick Dampier,2003,8591,23,2,5,0,0,1,2,2,4,7,0,0,1,1,2,7,11
Reggie Jackson,2015,8492,24,4,10,1,3,2,2,0,2,2,4,0,0,1,1,12,11
Rajon Rondo,2012,8467,31,4,9,0,1,1,2,1,3,4,8,1,0,2,2,10,11
Gerald Wallace,2008,8467,28,4,8,0,1,2,4,1,4,5,2,1,0,1,2,11,11
Michael Kidd-Gilchrist,2015,8461,23,3,6,0,0,1,2,1,3,5,1,0,0,0,2,8,11
Monta Ellis,2011,8460,34,6,15,0,2,3,4,0,2,3,4,1,0,2,2,17,11
Darius Miles,2004,8450,25,4,8,0,0,1,2,1,3,4,1,0,1,2,2,10,11
Solomon Hill,2016,8444,21,1,4,0,2,1,1,0,2,3,1,0,0,0,1,5,11
Shawn Bradley,2001,8390,20,2,6,0,0,1,1,1,3,5,0,0,2,0,2,6,11
Corey Maggette,2005,8355,27,4,10,0,1,5,6,1,3,4,2,0,0,2,2,15,11
Chauncey Billups,2005,8341,31,4,11,1,4,4,4,0,2,2,5,1,0,2,2,15,11
RJ Barrett,2019,8316,29,5,12,1,3,2,4,0,4,4,2,0,0,2,2,14,11
Dennis Rodman,1997,8299,33,1,4,0,0,0,1,4,9,13,2,0,0,1,3,4,11
Chris Kaman,2009,8292,26,4,9,0,0,1,2,2,5,7,1,0,1,2,2,11,11
Brad Miller,2005,8238,27,3,8,0,0,2,3,1,5,7,2,0,0,1,2,11,11
Bison Dele,1998,8132,27,5,10,0,0,1,2,2,4,6,1,0,0,2,3,12,11
Gorgui Dieng,2016,8105,21,2,6,0,0,1,2,1,4,6,1,0,0,1,2,7,11
Lonzo Ball,2018,8089,31,4,10,1,5,0,1,1,4,6,6,1,0,2,2,10,11
Jeremy Lin,2014,8075,24,3,8,0,2,2,3,0,2,2,4,1,0,2,2,11,11
Tyrone Hill,1999,8036,30,3,7,0,0,2,3,3,5,8,0,0,0,1,3,9,11
