playerName,inflationAdjSalary
Al Harrington,7465
Tyrus Thomas,7441
Kelly Olynyk,7425
Jason Terry,7386
Mason Plumlee,7384
Jose Calderon,7381
Mark Price,7330
Greg Ostertag,7306
Derrick McKey,7303
Julius Randle,7279
John Henson,7277
Tayshaun Prince,7269
Jayson Tatum,7263
Ben Simmons,7260
Hidayet Turkoglu,7235
Ian Mahinmi,7216
Jim McIlvaine,7209
Nick Anderson,7187
Troy Murphy,7187
Otis Thorpe,7173
Chris Dudley,7159
Boris Diaw,7133
Caron Butler,7100
Charles Barkley,7083
Courtney Lee,7050
Dwight Powell,7039
Marcus Smart,7011
Meyers Leonard,7001
Jerry Stackhouse,6995
Wilson Chandler,6969
Clint Capela,6961
Kirk Hinrich,6936
Alan Henderson,6928
Kelvin Cato,6928
Darko Milicic,6904
Adonal Foyle,6871
Moe Harkless,6865
Loy Vaught,6846
Chris Mills,6840
OJ Mayo,6836
Danny Green,6807
Rony Seikaly,6791
Darius Garland,6789
Wesley Person,6789
Jeff Green,6788
Austin Croshere,6784
Anthony Mason,6782
Miles Plumlee,6773
Drew Gooden,6761
Stromile Swift,6725
Milos Teodosic,6723
Kenny Thomas,6720
Austin Rivers,6712
Iman Shumpert,6696
Mike Dunleavy,6684
Dante Exum,6668
Alec Burks,6659
Amir Johnson,6633
Shandon Anderson,6611
Kwame Brown,6604
Clifford Robinson,6557
Josh Jackson,6549
Robert Covington,6540
Chris Gatling,6521
Brandon Ingram,6497
Doug Christie,6488
Arron Afflalo,6444
Matthew Dellavedova,6438
Mookie Blaylock,6435
JR Smith,6395
A.C. Green,6382
Jeff Hornacek,6381
Marko Jaric,6375
Bryant Stith,6364
Jahidi White,6363
Michael Olowokandi,6331
Malcolm Brogdon,6330
Sam Cassell,6320
Lorenzen Wright,6315
Stephen Jackson,6306
Lionel Simmons,6300
Dion Waiters,6276
Josh Childress,6257
Avery Bradley,6254
TJ Ford,6248
Jameer Nelson,6238
Danny Fortson,6220
Trae Young,6218
Robert Horry,6213
Brendan Haywood,6201
Devin Harris,6197
Jarrett Culver,6166
Terry Rozier,6164
Jerome Williams,6157
James Johnson,6139
Myles Turner,6135
Metta World Peace,6131
Jerome James,6105
Kris Humphries,6102
Aaron McKie,6063
Eddie Robinson,6061
Jason Williams,6053
Alvin Williams,6045
Hersey Hawkins,6038
Wayman Tisdale,6025
Tony Snell,6021
Bobby Hurley,6019
Ersan Ilyasova,6019
Lamond Murray,6017
Ron Mercer,6008
Bobby Simmons,6003
Sharone Wright,5991
Ron Harper,5984
Clarence Weatherspoon,5983
Avery Johnson,5980
Maurice Williams,5972
JaVale McGee,5967
Bobby Phills,5961
Stojko Vrankovic,5954
Chris Mullin,5952
De'Aaron Fox,5930
Mark Blount,5926
Quentin Richardson,5915
Channing Frye,5879
Radoslav Nesterovic,5874
Al-Farouq Aminu,5868
James Posey,5857
Todd MacCulloch,5857
Tyler Johnson,5837
Jaylen Brown,5837
Cory Joseph,5814
TJ Warren,5807
Isaac Austin,5775
Carl Landry,5761
Bonzi Wells,5755
Charlie Villanueva,5751
Jason Caffey,5749
Rodney Stuckey,5731
Louis Williams,5719
Jusuf Nurkic,5708
Tariq Abdul-Wahad,5691
Shane Battier,5690
Alex Abrines,5687
Joe Smith,5675
Luis Scola,5656
Mo Bamba,5647
Jeremy Lamb,5644
Ken Norman,5638
Jonathan Bender,5636
Boban Marjanovic,5635
Corliss Williamson,5634
Coby White,5629
Cristiano Felicio,5613
Ty Lawson,5588
Eric Snow,5577
Bob Sura,5569
Vitaly Potapenko,5564
Kyle Korver,5559
Andre Roberson,5557
Calvin Booth,5556
Matt Harpring,5546
Malik Rose,5518
Brent Barry,5516
Markieff Morris,5503
Kendall Gill,5484
Nemanja Bjelica,5481
Danny Ferry,5474
Etan Thomas,5471
Sarunas Jasikevicius,5471
John Salmons,5459
Mark Jackson,5446
Dan Gadzuric,5424
Adam Morrison,5424
Kurt Thomas,5418
John Starks,5418
Tony Battie,5416
Marcus Morris,5405
Jonathan Isaac,5386
Antonio Daniels,5363
Kelly Oubre,5360
Eric Williams,5347
Ruben Patterson,5343
