playerName,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Donovan Mitchell,33,8,19,2,6,3,4,0,3,4,4,1,0,2,2,23
Jimmy Butler,33,5,12,0,2,5,6,1,3,5,3,1,0,1,1,17
Joe Dumars,33,4,10,2,5,2,2,0,1,1,3,0,0,1,1,13
Anfernee Hardaway,32,5,11,0,1,2,3,1,3,4,4,1,0,2,2,13
Jrue Holiday,32,6,13,1,3,2,2,0,3,3,6,1,0,2,2,15
Trae Young,32,7,17,2,7,5,6,0,3,3,8,0,0,4,1,23
Rasheed Wallace,32,5,12,1,3,2,2,1,5,6,1,0,1,1,3,14
Kerry Kittles,32,5,12,1,3,1,2,1,2,3,2,1,0,1,1,13
Elton Brand,32,6,12,0,0,3,4,3,5,8,2,0,1,1,2,15
Richard Hamilton,32,6,14,0,1,3,4,0,2,3,3,0,0,2,2,17
Marc Gasol,32,5,11,0,1,3,4,1,6,7,3,0,1,1,2,14
Tracy McGrady,32,7,16,1,3,4,5,1,4,5,4,1,0,2,1,19
Rudy Gay,32,6,14,1,2,3,3,1,4,5,2,1,0,2,2,17
Giannis Antetokounmpo,32,7,14,0,2,4,6,1,7,9,4,1,1,2,3,20
Derrick Rose,32,7,16,0,2,3,4,0,2,3,5,0,0,2,1,19
Jayson Tatum,32,6,14,1,4,3,3,0,5,6,2,1,0,1,2,17
Eric Gordon,32,5,13,2,6,2,3,0,2,2,2,0,0,1,1,16
Al Horford,32,5,11,0,1,1,2,2,6,8,3,0,1,1,2,13
Yao Ming,32,6,13,0,0,5,6,2,6,9,1,0,1,2,3,19
Bobby Phills,32,4,10,1,2,1,2,0,2,3,3,1,0,1,2,12
Victor Oladipo,32,6,14,1,4,3,3,0,4,4,3,1,0,2,2,17
Grant Hill,32,5,12,0,0,3,4,1,4,5,3,1,0,2,2,15
Andre Iguodala,32,4,9,0,2,2,3,0,4,4,4,1,0,1,1,11
Lamar Odom,32,4,10,0,2,2,3,1,6,8,3,0,0,2,3,13
Mike Conley,32,5,12,1,3,2,3,0,2,3,5,1,0,2,1,14
Luka Dončić,32,8,18,2,7,5,7,1,7,8,7,1,0,3,2,24
Peja Stojaković,32,5,13,2,5,2,3,0,3,4,1,0,0,1,1,16
Khris Middleton,31,5,13,1,4,2,3,0,4,4,3,1,0,1,2,16
Wesley Matthews,31,4,10,2,5,2,2,0,2,3,2,1,0,1,2,13
Steve Nash,31,5,10,1,3,2,2,0,2,3,8,0,0,2,1,14
Damon Stoudamire,31,4,11,1,3,2,2,0,2,3,5,1,0,2,1,12
