,playerName,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos
30,Shareef Abdur-Rahim,34,6,13,0,0,4,5,2,5,7,2,0,0,2,2,18,F
31,Jayson Williams,34,4,10,0,0,2,4,6,7,13,1,0,1,1,3,11,F-C
32,Eddie Jones,34,5,11,1,4,3,3,0,3,4,2,1,0,1,2,14,G-F
33,Shawn Marion,34,6,12,0,2,2,2,2,6,8,1,1,1,1,2,15,F
34,Blake Griffin,34,8,16,0,1,4,6,2,6,8,4,0,0,2,2,21,F
35,LaMarcus Aldridge,34,7,16,0,0,3,4,2,5,8,1,0,1,1,2,19,F-C
36,Doug Christie,34,4,9,1,3,2,3,0,3,4,3,2,0,2,2,11,G-F
37,Chris Paul,34,6,13,1,3,4,4,0,3,4,9,2,0,2,2,18,G
38,Glen Rice,33,5,12,1,3,3,4,0,3,3,1,0,0,1,2,16,F
39,Michael Finley,33,5,13,1,3,2,2,0,3,4,2,0,0,1,1,15,G-F
40,Devin Booker,33,7,17,1,5,5,5,0,3,3,4,0,0,3,3,22,G
41,Dirk Nowitzki,33,7,15,1,3,4,5,1,6,7,2,0,0,1,2,21,F
42,Ben Simmons,33,6,11,0,0,2,4,1,6,8,7,1,0,3,2,16,G-F
43,James Harden,33,7,16,2,7,7,8,0,4,5,6,1,0,3,2,24,G
44,Paul George,33,6,15,2,6,4,4,0,5,6,3,1,0,2,2,19,F
45,Pau Gasol,33,6,12,0,0,3,5,2,6,9,3,0,1,2,2,16,C-F
46,Jason Richardson,33,6,14,1,5,2,3,1,3,4,2,1,0,1,2,17,G
47,Kyrie Irving,33,8,17,2,5,3,4,0,2,3,5,1,0,2,2,22,G
48,Dwight Howard,33,6,10,0,0,4,8,3,8,12,1,0,1,2,3,16,C
49,Tim Hardaway,33,5,13,2,6,2,3,0,2,2,6,1,0,2,2,15,G
50,Kemba Walker,33,6,16,2,6,3,4,0,3,3,5,1,0,2,1,19,G
51,DeMar DeRozan,33,7,15,0,1,5,6,0,3,4,3,0,0,2,2,20,G-F
52,Karl-Anthony Towns,33,8,15,1,3,4,4,3,8,11,2,0,1,2,3,22,C-F
53,Baron Davis,33,5,14,1,5,2,4,0,2,3,7,1,0,2,2,16,G
54,Klay Thompson,33,7,16,2,7,1,2,0,3,3,2,0,0,1,2,19,G-F
55,Larry Johnson,33,4,10,0,1,2,3,1,3,5,2,0,0,1,3,12,G
56,Larry Johnson,33,4,10,0,1,2,3,1,3,5,2,0,0,1,3,12,F
57,Mike Bibby,33,5,12,1,3,2,2,0,2,3,5,1,0,2,1,14,G
58,Deron Williams,33,5,12,1,3,3,4,0,2,3,7,1,0,2,2,16,G
59,Donovan Mitchell,33,8,19,2,6,3,4,0,3,4,4,1,0,2,2,23,G
60,Jimmy Butler,33,5,12,0,2,5,6,1,3,5,3,1,0,1,1,17,F-G
61,Anfernee Hardaway,32,5,11,0,1,2,3,1,3,4,4,1,0,2,2,13,G-F
62,Jrue Holiday,32,6,13,1,3,2,2,0,3,3,6,1,0,2,2,15,G
63,Trae Young,32,7,17,2,7,5,6,0,3,3,8,0,0,4,1,23,G
64,Rasheed Wallace,32,5,12,1,3,2,2,1,5,6,1,0,1,1,3,14,F-C
65,Kerry Kittles,32,5,12,1,3,1,2,1,2,3,2,1,0,1,1,13,G
66,Elton Brand,32,6,12,0,0,3,4,3,5,8,2,0,1,1,2,15,F-C
67,Richard Hamilton,32,6,14,0,1,3,4,0,2,3,3,0,0,2,2,17,G-F
68,Marc Gasol,32,5,11,0,1,3,4,1,6,7,3,0,1,1,2,14,C
69,Rudy Gay,32,6,14,1,2,3,3,1,4,5,2,1,0,2,2,17,F
70,Giannis Antetokounmpo,32,7,14,0,2,4,6,1,7,9,4,1,1,2,3,20,F-G
71,Derrick Rose,32,7,16,0,2,3,4,0,2,3,5,0,0,2,1,19,G
72,Jayson Tatum,32,6,14,1,4,3,3,0,5,6,2,1,0,1,2,17,F
73,Eric Gordon,32,5,13,2,6,2,3,0,2,2,2,0,0,1,1,16,G-F
74,Al Horford,32,5,11,0,1,1,2,2,6,8,3,0,1,1,2,13,C-F
75,Bobby Phills,32,4,10,1,2,1,2,0,2,3,3,1,0,1,2,12,G
76,Victor Oladipo,32,6,14,1,4,3,3,0,4,4,3,1,0,2,2,17,G
77,Andre Iguodala,32,4,9,0,2,2,3,0,4,4,4,1,0,1,1,11,G-F
78,Lamar Odom,32,4,10,0,2,2,3,1,6,8,3,0,0,2,3,13,F
79,Mike Conley,32,5,12,1,3,2,3,0,2,3,5,1,0,2,1,14,G
80,Luka Dončić,32,8,18,2,7,5,7,1,7,8,7,1,0,3,2,24,G-F
81,Peja Stojaković,32,5,13,2,5,2,3,0,3,4,1,0,0,1,1,16,F
82,Khris Middleton,31,5,13,1,4,2,3,0,4,4,3,1,0,1,2,16,F-G
83,Wesley Matthews,31,4,10,2,5,2,2,0,2,3,2,1,0,1,2,13,G
84,Damon Stoudamire,31,4,11,1,3,2,2,0,2,3,5,1,0,2,1,12,G
85,Rashard Lewis,31,5,11,1,4,2,2,1,3,5,1,1,0,1,2,14,F
86,Stephen Jackson,31,5,12,1,4,2,3,0,3,3,3,1,0,2,2,15,F-G
87,Lonzo Ball,31,4,10,1,5,0,1,1,4,6,6,1,0,2,2,10,G
88,Brandon Ingram,31,5,12,1,3,3,4,0,4,5,3,0,0,2,2,16,F
89,Horace Grant,31,3,8,0,0,1,1,2,4,7,1,0,0,0,2,8,F-C
90,De'Andre Hunter,31,4,10,1,4,1,2,0,3,4,1,0,0,1,2,12,F
91,Kawhi Leonard,31,6,13,1,3,3,4,1,5,6,2,1,0,1,1,19,F
92,Nick Van Exel,31,5,12,1,4,2,2,0,2,2,6,0,0,2,1,13,G
93,Kyle Lowry,31,4,11,1,5,3,4,0,3,4,6,1,0,2,2,14,G
94,Chauncey Billups,31,4,11,1,4,4,4,0,2,2,5,1,0,2,2,15,G
95,DeMarcus Cousins,31,7,16,0,1,5,7,2,8,10,3,1,1,3,3,21,C-F
96,Sam Cassell,31,6,13,0,1,3,4,0,2,3,6,1,0,2,2,16,G
97,Jalen Rose,31,5,12,0,2,3,3,0,3,3,3,0,0,2,2,15,G-F
98,Michael Redd,31,6,14,1,4,4,4,1,2,3,2,0,0,1,1,19,G
99,Rajon Rondo,31,4,9,0,1,1,2,1,3,4,8,1,0,2,2,10,G
100,Sasha Danilović,31,4,10,1,4,2,2,0,1,2,1,0,0,2,2,12,G
101,Kevin Love,31,5,13,1,4,4,5,2,8,11,2,0,0,1,2,17,F
102,Collin Sexton,31,7,15,1,3,2,3,0,2,2,2,0,0,2,2,18,G
103,Caron Butler,31,5,11,0,2,2,3,1,3,5,2,1,0,1,2,13,F
104,Tayshaun Prince,31,4,9,0,1,1,2,1,3,4,2,0,0,1,1,11,F
105,Clifford Robinson,31,4,11,1,3,2,2,1,2,3,2,0,0,1,2,12,F-C
106,Josh Smith,31,5,12,0,1,2,4,1,5,7,3,1,1,2,2,14,F
107,Carlos Boozer,31,6,13,0,0,2,3,2,7,9,2,0,0,2,3,16,F-C
108,Metta World Peace,31,4,11,1,3,2,3,1,3,4,2,1,0,1,2,13,F
109,Kirk Hinrich,30,3,9,1,3,1,2,0,2,2,4,1,0,1,2,10,G
110,Kenyon Martin,30,5,10,0,0,2,3,1,5,6,1,1,1,1,3,12,F
111,CJ McCollum,30,7,15,2,5,2,2,0,2,3,3,0,0,1,2,18,G
112,Charles Oakley,30,3,7,0,0,1,1,1,5,7,2,1,0,1,3,7,F-C
113,Tobias Harris,30,6,12,1,3,2,3,1,5,6,2,0,0,1,2,15,F
114,Larry Hughes,30,5,12,0,2,3,4,1,3,4,3,1,0,2,2,13,G
115,Gordon Hayward,30,5,11,1,3,3,4,0,3,4,3,0,0,1,1,15,F-G
116,Shai Gilgeous-Alexander,30,5,11,0,2,2,3,0,3,4,3,1,0,1,1,14,G
117,Emeka Okafor,30,4,9,0,0,2,3,3,6,9,0,0,1,1,2,11,C-F
118,Harrison Barnes,30,4,11,1,3,2,2,1,3,4,1,0,0,1,1,13,F
119,Kristaps Porziņģis,30,6,15,1,4,3,4,1,5,7,1,0,2,1,3,18,F-C
120,Kevin Johnson,30,4,9,0,1,4,5,0,2,3,6,1,0,2,1,14,G
121,Lauri Markkanen,30,5,13,2,6,2,3,1,6,7,1,0,0,1,1,16,F-C
122,Brook Lopez,30,6,13,0,2,3,4,2,4,6,1,0,1,1,2,16,C
123,Andre Miller,30,4,10,0,0,3,3,1,2,3,6,1,0,2,2,12,G
124,Amar'e Stoudemire,30,6,13,0,0,4,6,2,5,7,1,0,1,2,3,18,F-C
125,Josh Howard,30,5,12,0,2,2,3,1,4,5,1,1,0,1,2,14,F-G
126,Ja Morant,30,6,14,0,2,3,4,0,3,3,7,0,0,3,1,18,G
127,Tyreke Evans,30,5,13,0,2,3,4,0,3,4,4,1,0,2,2,15,G-F
128,Tyrone Hill,30,3,7,0,0,2,3,3,5,8,0,0,0,1,3,9,F
129,Andre Drummond,30,6,11,0,0,2,4,4,9,13,1,1,1,1,3,14,C
130,Zach LaVine,30,6,14,1,4,3,3,0,3,3,3,0,0,2,2,17,G-F
131,Desmond Mason,30,4,10,0,0,2,3,1,3,4,1,0,0,1,2,12,F
132,Joel Embiid,30,7,16,1,3,6,8,2,9,11,3,0,1,3,3,23,C
133,Nicolas Batum,30,4,9,1,4,1,2,1,4,5,3,0,0,1,1,11,F-G
134,Derrick Coleman,30,4,11,0,1,3,4,2,6,8,2,0,1,2,2,13,F-C
135,Wally Szczerbiak,30,5,10,0,2,2,2,1,2,3,2,0,0,1,2,13,F
136,Jim Jackson,30,4,10,1,2,1,2,1,3,4,2,0,0,2,2,11,G
137,Jerry Stackhouse,30,5,13,1,3,4,5,0,2,3,3,0,0,2,1,16,G-F
138,Darius Garland,30,4,11,1,5,1,1,0,1,1,3,0,0,2,1,12,G
139,P.J. Brown,30,3,7,0,0,1,2,2,5,7,1,0,0,1,2,9,F-C
140,Danilo Gallinari,30,4,11,1,5,4,5,0,4,4,2,0,0,1,1,16,F
141,Danny Granger,30,5,12,1,4,3,4,1,3,4,1,0,0,1,2,16,F
142,Zach Randolph,30,6,14,0,0,3,4,2,6,9,1,0,0,2,2,16,F-C
143,Deandre Ayton,30,7,13,0,0,1,2,3,7,10,1,0,1,1,2,16,C
144,Tony Parker,30,6,13,0,1,2,3,0,2,2,5,0,0,2,1,15,G
145,Rony Seikaly,30,5,10,0,0,4,5,2,4,7,1,0,1,2,3,14,C
146,O.J. Mayo,30,5,11,1,4,2,2,0,2,3,2,1,0,2,2,13,G
147,Antonio Davis,30,3,8,0,0,3,4,2,5,7,1,0,1,1,2,10,F-C
148,Ricky Rubio,30,3,9,0,2,3,3,0,3,4,7,1,0,2,2,11,G
149,Isaiah Rider,30,5,13,1,3,2,3,1,2,3,2,0,0,2,2,15,G
150,Ron Mercer,30,5,13,0,0,1,2,0,2,3,2,1,0,1,2,13,G-F
151,Josh Richardson,30,4,10,1,4,1,2,0,2,3,2,1,0,1,2,12,G
152,Keith Van Horn,30,5,12,1,2,3,3,1,4,6,1,0,0,2,2,15,F
153,Shane Battier,29,2,6,1,3,1,1,1,2,4,1,0,0,0,2,8,F
154,Bryant Reeves,29,5,10,0,0,2,3,2,4,6,1,0,0,1,3,12,C
155,Jamal Murray,29,6,13,1,5,2,2,0,2,3,3,0,0,1,1,16,G
156,Rudy Gobert,29,4,6,0,0,3,4,3,7,10,1,0,2,1,2,11,C
157,De'Aaron Fox,29,5,13,0,2,3,4,0,2,3,6,1,0,2,2,16,G
158,Rod Strickland,29,4,10,0,0,2,4,0,2,3,7,1,0,2,1,12,G
159,Brandon Jennings,29,4,12,1,4,2,3,0,2,2,5,1,0,2,1,13,G
160,P.J. Washington,29,4,10,1,3,1,2,1,4,5,2,0,0,1,2,12,F
161,Nikola Vučević,29,6,14,0,1,1,2,2,7,10,2,0,0,1,2,16,C
162,Vince Carter,29,6,13,1,4,3,4,1,3,4,3,0,0,1,2,16,G-F
163,Rui Hachimura,29,5,11,0,1,2,2,1,4,6,1,0,0,1,2,13,F
164,Wilson Chandler,29,4,10,1,3,1,2,1,4,5,1,0,0,1,2,12,F
165,P.J. Tucker,29,2,6,1,3,0,1,1,4,5,1,1,0,0,2,7,F
166,Kendall Gill,29,4,11,0,1,2,3,1,2,4,2,1,0,1,2,11,G
167,Vin Baker,29,5,11,0,0,2,4,2,3,6,1,0,0,2,3,13,F
168,Jason Terry,29,4,11,1,4,1,2,0,1,2,3,1,0,1,1,13,G
169,Trevor Ariza,29,3,8,1,4,1,2,0,3,4,2,1,0,1,2,10,F
170,Nikola Jokić,29,6,12,0,2,3,3,2,7,9,5,1,0,2,2,17,C-F
171,Ricky Davis,29,5,11,0,2,2,3,0,2,3,3,0,0,2,1,13,G
172,Raymond Felton,29,4,10,0,2,1,2,0,2,2,5,1,0,2,1,11,G
173,Jabari Brown,29,3,8,1,3,3,4,0,1,1,2,0,0,1,1,11,G
174,Andrei Kirilenko,29,3,8,0,1,3,4,1,3,5,2,1,1,1,2,11,F
175,Chandler Parsons,29,4,10,1,4,1,2,0,3,4,2,0,0,1,1,12,F
176,Jeff Hornacek,29,4,9,0,1,3,3,0,2,3,3,1,0,1,2,13,G
177,Thaddeus Young,29,5,11,0,1,1,2,2,3,5,1,1,0,1,2,13,F
178,D.J. Kennedy,29,2,6,1,2,0,1,0,3,3,1,1,0,1,3,6,F
179,Robert Covington,29,4,10,2,6,1,2,0,4,5,1,1,0,1,3,12,F-C
180,RJ Barrett,29,5,12,1,3,2,4,0,4,4,2,0,0,2,2,14,G-F
181,Detlef Schrempf,29,4,9,0,1,3,3,1,4,5,3,0,0,1,2,12,F-C
182,Kevin Martin,29,5,12,1,4,4,5,0,2,3,1,0,0,1,1,17,G
183,Darren Collison,28,4,9,0,2,2,2,0,2,2,4,1,0,1,1,12,G
184,Nick Anderson,28,4,10,1,5,1,1,1,3,4,1,1,0,1,1,11,F-G
185,Kyle Kuzma,28,5,12,1,5,2,2,0,4,5,1,0,0,1,2,15,F
186,Marcus Smart,28,3,8,1,4,1,2,0,2,3,4,1,0,1,2,9,G
187,Myles Turner,28,4,9,0,2,2,2,1,5,6,1,0,2,1,2,12,C-F
188,Mychal Mulder,28,3,9,2,7,1,1,0,2,3,1,0,0,0,2,11,G-F
189,Marcus Camby,28,3,8,0,0,1,2,2,7,9,1,0,2,1,2,9,C-F
190,Draymond Green,28,3,7,0,2,1,2,1,6,7,5,1,1,2,2,9,F
191,Mehmet Okur,28,4,10,0,2,2,3,1,4,6,1,0,0,1,2,12,C-F
192,Elfrid Payton,28,4,9,0,1,1,2,1,3,4,6,1,0,2,2,10,G
193,Malcolm Brogdon,28,5,10,1,3,2,2,0,3,3,4,0,0,1,1,13,G
194,Richard Jefferson,28,4,9,0,2,2,3,0,3,4,2,0,0,1,2,12,F
195,Mikal Bridges,28,3,6,1,3,1,1,0,2,3,1,1,0,0,2,8,G
196,D'Angelo Russell,28,6,15,2,6,2,2,0,3,3,5,1,0,2,1,17,G
197,Rafer Alston,28,3,9,1,4,1,1,0,2,2,4,1,0,1,2,10,G
198,Mario Elie,28,2,6,0,2,1,2,0,2,2,2,1,0,1,2,8,G-F
199,Serge Ibaka,28,5,9,0,1,1,1,2,5,7,0,0,2,1,2,12,F-C
200,Paul Millsap,28,5,10,0,1,3,4,2,5,7,2,1,1,1,3,13,F
201,Mo Williams,28,4,11,1,3,1,2,0,2,2,4,0,0,2,2,12,G
202,Patrick Ewing,28,5,11,0,0,3,4,1,6,8,1,0,1,2,2,14,F
203,Derek Anderson,28,3,9,1,3,3,3,0,2,3,3,1,0,1,1,11,G
204,Gary Harris,28,4,9,1,4,1,1,0,2,2,2,1,0,1,1,12,G
205,David Lee,28,5,10,0,0,2,3,2,6,8,2,0,0,1,2,13,F
206,David Lee,28,5,10,0,0,2,3,2,6,8,2,0,0,1,2,13,F
207,Avery Bradley,28,4,10,1,3,1,1,0,2,2,1,1,0,1,2,11,G
208,Kevin Huerter,28,4,9,2,5,0,0,0,2,3,3,0,0,1,2,10,G
209,Jeff Green,28,4,10,1,3,2,3,0,3,4,1,0,0,1,2,12,F
210,T.J. Warren,28,6,12,0,2,1,2,1,2,4,1,1,0,1,2,15,F
211,Steve Smith,28,4,10,1,3,3,3,0,1,2,2,0,0,1,2,13,G
212,Al Jefferson,28,6,13,0,0,2,3,2,6,8,1,0,1,1,2,15,C-F
213,Brandon Knight,28,5,12,1,4,2,2,0,2,3,3,0,0,2,1,14,G
214,Jamal Crawford,28,5,12,1,4,2,3,0,1,2,3,0,0,1,1,14,G
215,Ty Lawson,28,4,9,0,2,2,3,0,2,2,5,1,0,2,1,12,G
216,Kentavious Caldwell-Pope,28,4,9,1,4,1,1,0,2,3,1,1,0,0,1,11,G
217,Isaiah Thomas,28,5,13,1,5,4,5,0,1,2,5,0,0,2,2,18,G
218,Jason Williams,28,3,9,1,4,1,1,0,2,2,5,1,0,2,1,10,G
219,Tyler Herro,28,5,11,2,5,1,2,0,4,4,2,0,0,1,1,14,G
220,Andrea Bargnani,28,5,12,1,3,2,3,0,3,4,1,0,0,1,2,14,F-C
221,Jabari Parker,28,5,12,0,2,2,2,1,4,5,2,0,0,1,2,14,F
222,Aaron Gordon,28,4,10,1,3,2,2,1,4,6,2,0,0,1,2,12,F
223,Julius Randle,28,6,12,0,1,3,4,2,6,9,2,0,0,2,3,16,F-C
224,Gerald Wallace,28,4,8,0,1,2,4,1,4,5,2,1,0,1,2,11,F
225,Juwan Howard,28,4,10,0,0,2,3,1,3,5,1,0,0,1,2,12,F
226,Bojan Bogdanović,28,4,10,1,4,2,2,0,3,3,1,0,0,1,1,14,G-F
227,Jameer Nelson,27,4,10,1,3,1,1,0,2,2,5,0,0,2,2,11,G
228,Anthony Parker,27,3,7,1,3,1,1,0,2,3,2,0,0,1,1,9,G
229,Kenny Thomas,27,3,7,0,0,1,2,2,4,6,1,0,0,1,2,9,F
230,Voshon Lenard,27,4,10,1,4,1,2,0,2,2,2,0,0,1,2,12,G
231,Kenny Anderson,27,4,9,0,1,1,2,0,2,2,4,1,0,1,2,10,G
232,Joakim Noah,27,3,6,0,0,2,2,3,5,9,2,0,1,1,2,8,C
233,Eric Bledsoe,27,4,10,1,3,2,3,0,3,3,4,1,0,2,2,13,G
234,Bison Dele,27,5,10,0,0,1,2,2,4,6,1,0,0,2,3,12,F-C
235,Goran Dragić,27,5,11,1,3,2,3,0,2,3,4,0,0,2,2,13,G
236,Ben Gordon,27,5,12,1,3,2,3,0,2,2,2,0,0,2,2,15,G
237,Rex Chapman,27,4,11,1,4,1,2,0,2,2,2,0,0,1,1,12,G
238,Ryan Gomes,27,3,8,0,1,1,2,1,3,4,1,0,0,1,1,10,F
239,Marvin Williams,27,3,8,0,2,1,2,1,3,5,1,0,0,0,1,10,F
240,Dillon Brooks,27,4,11,1,4,1,2,0,2,3,1,0,0,1,3,12,F-G
241,Raja Bell,27,3,8,1,3,1,1,0,2,2,1,0,0,0,2,9,G
242,Kasib Powell,27,3,8,0,3,0,0,0,3,4,1,0,0,0,1,7,F
243,Justise Winslow,27,3,8,0,2,1,1,1,4,5,2,0,0,1,2,8,F
244,Mike Dunleavy,27,3,8,1,3,1,2,0,3,4,2,0,0,1,1,11,G
245,Mike Dunleavy,27,3,8,1,3,1,2,0,3,4,2,0,0,1,1,11,F-G
246,Hersey Hawkins,27,3,7,1,3,2,2,0,2,3,2,1,0,1,1,9,G
247,Mark Jackson,27,2,6,0,2,1,1,0,2,3,7,0,0,2,1,7,G
248,Tom Gugliotta,27,4,9,0,0,2,2,1,4,6,2,1,0,1,2,11,F
249,Corey Maggette,27,4,10,0,1,5,6,1,3,4,2,0,0,2,2,15,F
250,Dion Waiters,27,4,11,1,3,1,2,0,2,2,2,0,0,1,1,12,G
251,John Collins,27,6,11,0,2,2,3,2,5,8,1,0,1,1,3,16,F
252,Dan Majerle,27,2,6,1,4,0,0,0,3,3,2,1,0,0,2,6,G-F
253,Alvin Williams,27,3,8,0,1,1,1,0,1,2,4,1,0,1,1,9,G
254,Patrick Beverley,27,3,7,1,4,1,1,1,3,4,3,1,0,1,3,8,G
255,Chris Mills,27,3,9,0,2,1,2,1,3,4,1,0,0,1,2,10,F
256,Delonte West,27,3,8,0,2,1,1,0,2,2,3,1,0,1,1,9,G
257,David West,27,5,10,0,0,2,3,1,4,6,2,0,0,1,2,13,F-C
258,George Hill,27,3,8,1,3,2,2,0,2,3,3,0,0,1,2,11,G
259,Zion Williamson,27,8,15,0,0,4,7,2,3,6,2,0,0,2,1,22,F-C
260,Brad Miller,27,3,8,0,0,2,3,1,5,7,2,0,0,1,2,11,C
261,Evan Fournier,27,5,11,1,4,2,2,0,2,2,2,0,0,1,2,14,G-F
262,DeAndre Jordan,27,3,5,0,0,1,4,3,7,10,0,0,1,1,2,9,C
263,T.J. Ford,27,4,9,0,1,2,2,0,2,3,5,1,0,2,2,11,G
264,Wesley Person,27,4,9,1,3,0,1,0,2,3,1,0,0,0,1,11,G
265,Al Harrington,27,4,11,0,2,2,3,1,4,5,1,0,0,1,3,13,F
266,Sean Elliott,27,3,8,0,2,1,2,0,3,3,2,0,0,1,2,10,F
267,Bruce Bowen,27,2,5,0,2,0,1,0,2,2,1,0,0,0,2,6,F
268,Al Thornton,27,4,10,0,0,2,3,1,2,4,1,0,0,1,2,11,F
269,Eric Snow,27,2,6,0,0,1,2,0,2,2,5,1,0,1,2,7,G
270,Bogdan Bogdanović,27,4,11,2,5,1,1,0,2,3,3,0,0,1,2,13,G
271,Jeff McInnis,27,3,8,0,1,1,1,0,1,2,4,0,0,1,2,9,G
272,Eric Paschall,27,5,10,0,2,2,3,1,3,4,2,0,0,1,2,13,F
273,Jarrett Jack,27,3,8,0,2,2,2,0,2,2,4,0,0,2,1,10,G
274,Renaldo Major,27,2,10,0,0,1,2,0,2,2,0,2,0,1,4,5,F
275,Jeff Teague,27,4,10,0,2,2,3,0,2,2,5,1,0,2,1,12,G
276,Tristan Thompson,27,3,7,0,0,1,3,3,5,8,0,0,0,1,2,9,F-C
277,Brian Grant,27,3,7,0,0,2,2,2,5,7,1,0,0,1,3,9,F
278,Buddy Hield,27,5,13,2,6,1,1,0,3,4,2,0,0,1,1,15,G
279,Shawn Kemp,26,4,10,0,0,3,5,2,4,7,1,1,0,2,3,13,F-C
280,Jaren Jackson Jr.,26,5,11,1,4,2,3,1,3,4,1,0,1,1,3,15,F
281,Tyson Chandler,26,3,5,0,0,2,3,3,5,8,0,0,1,1,2,8,C
282,Tyrone Corbin,26,3,7,0,2,0,1,0,2,3,1,0,0,0,2,7,G-F
283,Jaylen Brown,26,4,10,1,3,1,2,0,3,4,1,0,0,1,2,13,F-G
284,Pascal Siakam,26,5,10,0,2,2,2,1,4,5,2,0,0,1,2,13,F
285,Duncan Robinson,26,3,8,3,7,0,1,0,2,2,1,0,0,0,2,11,G-F
286,Andrew Bogut,26,4,7,0,0,1,1,2,6,8,2,0,1,1,3,9,C
287,Devonte' Graham,26,4,10,2,6,2,2,0,2,2,5,0,0,1,1,12,G
288,Hedo Türkoğlu,26,3,9,1,3,2,2,0,3,3,2,0,0,1,2,10,F
289,Rodney Stuckey,26,4,10,0,1,3,3,0,2,2,3,0,0,1,2,12,G
290,Courtney Lee,26,3,8,1,2,1,1,0,2,2,1,0,0,0,1,9,G
291,Jordan Clarkson,26,5,12,1,4,1,2,0,2,3,2,0,0,1,1,14,G
292,Rodney Hood,26,4,10,1,4,1,2,0,2,2,1,0,0,1,2,11,G-F
293,Chris Kaman,26,4,9,0,0,1,2,2,5,7,1,0,1,2,2,11,C
294,Zydrunas Ilgauskas,26,4,10,0,0,2,3,2,4,7,1,0,1,1,3,12,C
295,Antonio McDyess,26,4,9,0,0,1,2,2,5,7,1,0,1,1,3,11,F-C
296,Quentin Richardson,26,3,9,1,4,1,1,1,3,4,1,0,0,1,1,10,G
297,Marcus Morris,26,4,10,1,4,1,2,0,3,4,1,0,0,1,2,12,F
298,Christian Laettner,26,3,8,0,0,2,2,1,4,5,2,0,0,1,2,10,F-C
299,Arron Afflalo,26,3,8,1,2,1,2,0,2,2,1,0,0,1,1,10,G-F
300,Jermaine O'Neal,26,5,10,0,0,2,4,1,5,7,1,0,1,1,2,13,C-F
301,Rick Fox,26,3,7,1,2,1,1,0,2,3,2,1,0,1,3,9,F-G
302,Otto Porter Jr.,26,4,8,1,3,1,1,1,3,5,1,1,0,0,1,10,F
303,Derek Harper,26,3,7,0,2,0,1,0,1,1,3,1,0,1,1,8,G
304,James Posey,26,2,6,1,3,1,1,0,3,4,1,1,0,1,2,8,F-G
305,Greg Monroe,26,5,10,0,0,2,3,2,5,8,2,1,0,1,2,12,C-F
306,Malik Sealy,26,3,9,0,1,2,2,0,2,3,1,1,0,1,2,10,G
307,Cam Reddish,26,3,9,1,4,1,2,0,3,3,1,1,0,1,2,10,F
308,Morris Peterson,26,3,9,1,3,1,1,0,2,3,1,0,0,0,2,10,F
309,Josh Childress,26,3,6,0,0,1,2,1,2,4,1,0,0,1,1,9,G-F
310,Jorge Garbajosa,26,3,7,0,2,0,1,0,3,4,1,1,0,0,1,7,F
311,Evan Turner,26,3,8,0,1,1,1,0,4,4,3,0,0,1,1,9,G
312,Boris Diaw,26,3,7,0,1,1,1,1,3,4,3,0,0,1,2,8,F-C
313,Kendrick Nunn,26,5,12,1,5,1,1,0,2,2,2,0,0,1,2,13,G
314,Troy Murphy,26,3,8,0,2,2,2,1,5,7,1,0,0,1,2,10,F-C
315,Avery Johnson,26,3,7,0,0,1,1,0,1,1,5,0,0,1,1,8,G
316,Bryon Russell,26,3,7,1,2,1,2,0,2,3,1,1,0,1,2,9,F
317,Steven Adams,26,4,6,0,0,1,2,3,4,7,1,0,1,1,2,9,C
318,J.R. Smith,26,4,10,1,5,1,1,0,2,3,2,0,0,1,2,12,G-F
319,Dario Šarić,26,4,10,1,4,1,2,1,4,6,2,0,0,1,2,12,F-C
320,Hassan Whiteside,26,5,9,0,0,2,3,3,8,11,0,0,2,1,2,13,C
321,Mario Chalmers,26,3,7,1,3,1,2,0,2,2,3,1,0,1,2,8,G
322,Wendell Carter Jr.,26,4,8,0,0,2,3,2,5,8,1,0,1,1,3,10,C
323,J.J. Redick,25,4,9,2,5,2,2,0,1,1,1,0,0,1,1,12,G
324,Coby White,25,4,12,2,5,1,1,0,3,3,2,0,0,1,1,13,G
325,Smush Parker,25,3,7,1,3,1,1,0,1,2,2,1,0,1,2,8,G
326,Michael Olowokandi,25,3,8,0,0,1,1,1,4,6,0,0,1,1,3,8,C
