playerName,seasonStartYear,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,inflationAdjSalary
Steve Francis,2002,40.6,7.0,16.2,1.0,3.0,5.9,7.3,2.0,4.2,6.2,6.2,1.7,0.5,3.7,3.1,21.0,6620.352
Gerald Wallace,2009,40.6,6.0,12.3,0.7,1.9,5.6,7.2,1.9,8.1,10.0,2.1,1.5,1.1,2.3,2.5,18.2,11431.252
Tracy McGrady,2004,40.6,9.3,21.5,1.9,5.7,5.6,7.2,1.0,5.3,6.3,5.8,1.7,0.7,2.7,2.2,26.1,20748.866
Latrell Sprewell,2001,40.6,7.1,17.5,1.8,5.0,3.5,4.3,0.7,3.0,3.7,3.9,1.2,0.2,2.8,2.0,19.4,17171.797
Steve Francis,2001,40.6,7.4,17.7,1.2,3.7,5.7,7.4,1.8,5.2,7.0,6.4,1.2,0.4,3.9,3.0,21.6,5301.918
Ricky Davis,2005,40.6,7.5,16.7,0.9,3.1,3.5,4.4,0.8,3.7,4.5,5.1,1.2,0.2,2.7,2.4,19.4,8255.367
Jalen Rose,2002,40.5,7.8,19.3,1.6,4.4,4.9,5.7,0.8,3.5,4.3,4.8,0.9,0.3,3.5,3.3,22.1,18232.629
Baron Davis,2001,40.5,6.9,16.8,2.1,5.9,2.6,4.5,1.2,3.3,4.5,8.5,2.2,0.6,3.0,3.0,18.5,4761.396
Damon Stoudamire,1996,40.4,7.0,17.4,2.2,6.1,4.1,5.0,1.1,3.0,4.1,8.8,1.5,0.2,3.6,2.0,20.2,2682.282
Glenn Robinson,1997,40.4,9.5,20.3,0.4,1.2,3.8,4.8,1.5,4.0,5.5,2.8,1.2,0.6,3.6,2.9,23.4,9339.02
Jalen Rose,2000,40.4,7.9,17.4,0.8,2.5,3.8,4.6,0.5,4.4,5.0,5.9,0.9,0.6,2.9,3.3,20.4,15223.801
Kobe Bryant,2006,40.4,10.6,23.0,1.8,5.2,8.5,9.8,0.9,4.7,5.7,5.3,1.4,0.5,3.4,2.6,31.6,23726.532
Tim Duncan,2001,40.3,9.3,18.5,0.0,0.1,7.1,8.8,3.3,9.6,12.9,3.9,0.7,2.7,3.3,2.6,25.7,16584.522
Chris Webber,2000,40.3,11.1,23.5,0.0,0.4,4.6,6.5,2.7,8.4,11.1,4.1,1.3,1.6,2.9,3.3,26.7,18911.554
Shaquille O'Neal,1999,40.3,12.2,21.3,0.0,0.0,5.6,11.0,4.5,9.6,14.0,3.6,0.5,2.9,2.7,3.2,29.9,28024.343
Kobe Bryant,2004,40.3,8.7,20.1,2.0,5.9,8.2,10.1,1.4,4.5,5.9,6.0,1.3,0.8,4.1,2.6,27.6,20302.007
Grant Hill,1997,40.3,7.6,16.8,0.0,0.3,5.9,8.0,1.1,6.5,7.7,6.8,1.8,0.7,3.5,2.4,21.1,9915.293
Chris Webber,1998,40.3,8.7,18.3,0.1,0.9,1.9,4.2,3.4,9.1,12.6,4.1,1.5,2.0,3.6,3.5,19.4,16668.466
